sample_id,sample_code,site_name,site_code,collected_at,collector,depth_meters,water_temperature_c,ph_level,dissolved_oxygen_mg_l,turbidity_ntu,filtration_volume_ml,sequencing_platform,total_metabarcode_reads,species_richness_detected
19,EDNA-2025-MNS-019,Manas Transboundary River Reserve,SITE-MNS-005,2025-12-17 18:00:00,Tenzing Norgay Eco-Team,3.72,25.8,7.35,8.07,9.1,2500,PacBio Sequel IIe,436773,69
20,EDNA-2026-PER-020,Periyar Cardamom Hills Watershed,SITE-PER-007,2026-01-31 13:00:00,Dr. Aris Thorne,5.95,18.8,7.19,7.15,10.5,2000,Oxford Nanopore GridION,933258,38
21,EDNA-2026-GIR-021,Gir Asiatic Lion Sanctuary,SITE-GIR-006,2026-03-24 08:00:00,Citizen Science Network,3.34,24.6,7.01,7.16,8.5,2000,Illumina MiSeq,281514,21
22,EDNA-2026-MNS-022,Manas Transboundary River Reserve,SITE-MNS-005,2026-03-16 15:00:00,Kavita Rao,2.34,29.0,6.7,6.37,17.0,2500,Illumina MiSeq,347082,49
23,EDNA-2026-NAM-023,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,2026-05-14 10:00:00,Kavita Rao,0.49,30.2,7.36,10.01,7.1,2500,Illumina NovaSeq 6000,232995,36
24,EDNA-2026-NAM-024,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,2026-07-03 16:00:00,Ranger Patrol Alpha,4.16,24.3,8.01,6.96,25.3,2500,PacBio Sequel IIe,563713,20
25,EDNA-2025-PER-025,Periyar Cardamom Hills Watershed,SITE-PER-007,2025-09-27 15:00:00,Tenzing Norgay Eco-Team,1.9,24.5,6.54,7.37,22.1,2500,Illumina NovaSeq 6000,314913,24
26,EDNA-2026-PER-026,Periyar Cardamom Hills Watershed,SITE-PER-007,2026-03-11 18:00:00,Dr. Evelyn Vance,4.87,21.8,6.67,7.93,12.2,1500,Illumina NovaSeq 6000,220804,26
27,EDNA-2026-GIR-027,Gir Asiatic Lion Sanctuary,SITE-GIR-006,2026-05-01 14:00:00,Kavita Rao,1.52,29.5,6.67,9.81,9.9,3000,Oxford Nanopore GridION,802565,39
28,EDNA-2026-NAM-028,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,2026-06-16 10:00:00,Kavita Rao,6.99,21.8,7.68,10.09,17.1,1500,PacBio Sequel IIe,458428,59
29,EDNA-2025-CBT-029,Jim Corbett Himalayan Foothills,SITE-CBT-004,2025-09-27 15:00:00,Kavita Rao,1.7,25.6,7.58,9.29,5.2,2000,Illumina NovaSeq 6000,780383,62
30,EDNA-2025-KZR-030,Kaziranga Floodplain Sanctuary,SITE-KZR-002,2025-12-07 06:00:00,Kavita Rao,2.87,18.7,7.71,6.84,22.4,3000,Illumina NovaSeq 6000,920058,26
31,EDNA-2026-CBT-031,Jim Corbett Himalayan Foothills,SITE-CBT-004,2026-06-15 11:00:00,Ranger Patrol Alpha,4.22,22.0,8.22,7.12,15.8,5000,Oxford Nanopore GridION,888699,67
32,EDNA-2026-MNS-032,Manas Transboundary River Reserve,SITE-MNS-005,2026-07-10 13:00:00,Maya Lin,8.15,20.5,6.97,9.87,28.0,2500,Illumina MiSeq,903769,63
33,EDNA-2026-NAM-033,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,2026-02-10 13:00:00,Dr. Evelyn Vance,4.9,30.1,7.77,6.14,16.9,5000,PacBio Sequel IIe,593697,70
34,EDNA-2025-GIR-034,Gir Asiatic Lion Sanctuary,SITE-GIR-006,2025-11-14 10:00:00,Dr. Aris Thorne,2.66,26.9,7.06,7.02,8.2,3000,Illumina MiSeq,391883,70
35,EDNA-2026-MNS-035,Manas Transboundary River Reserve,SITE-MNS-005,2026-06-15 17:00:00,Dr. Evelyn Vance,1.43,25.4,7.51,5.88,19.5,5000,Illumina MiSeq,848933,32
36,EDNA-2025-SND-036,Sundarbans Mangrove Biosphere,SITE-SND-001,2025-10-22 12:00:00,Dr. Evelyn Vance,6.18,18.0,7.86,4.53,16.2,2000,PacBio Sequel IIe,864607,74
37,EDNA-2026-NAM-037,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,2026-05-03 16:00:00,Maya Lin,6.5,20.7,6.94,4.84,22.2,5000,Illumina MiSeq,741147,65
38,EDNA-2025-SND-038,Sundarbans Mangrove Biosphere,SITE-SND-001,2025-11-29 12:00:00,Citizen Science Network,1.74,29.8,8.29,6.76,14.7,2500,Illumina NovaSeq 6000,189717,37
39,EDNA-2026-KZR-039,Kaziranga Floodplain Sanctuary,SITE-KZR-002,2026-02-19 10:00:00,Kavita Rao,8.41,24.4,7.34,9.85,24.4,3000,Oxford Nanopore GridION,382177,69
40,EDNA-2026-KZR-040,Kaziranga Floodplain Sanctuary,SITE-KZR-002,2026-02-17 08:00:00,Ranger Patrol Alpha,4.06,20.2,6.75,8.7,22.8,5000,Illumina MiSeq,364019,57
41,EDNA-2026-PER-041,Periyar Cardamom Hills Watershed,SITE-PER-007,2026-04-07 14:00:00,Dr. Evelyn Vance,1.01,26.2,6.75,5.3,10.0,2000,Illumina NovaSeq 6000,453453,42
42,EDNA-2026-CBT-042,Jim Corbett Himalayan Foothills,SITE-CBT-004,2026-04-17 18:00:00,Dr. Evelyn Vance,8.12,20.9,7.77,4.57,19.0,2000,Illumina NovaSeq 6000,880224,25
43,EDNA-2026-NAM-043,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,2026-02-05 08:00:00,Kavita Rao,5.93,29.9,8.09,8.89,20.0,2500,Oxford Nanopore GridION,824481,32
44,EDNA-2025-CBT-044,Jim Corbett Himalayan Foothills,SITE-CBT-004,2025-11-08 13:00:00,Maya Lin,4.03,30.8,7.11,8.5,26.1,5000,Illumina MiSeq,439486,61
45,EDNA-2026-KZR-045,Kaziranga Floodplain Sanctuary,SITE-KZR-002,2026-05-28 13:00:00,Tenzing Norgay Eco-Team,6.07,17.6,7.47,4.85,16.2,5000,Illumina MiSeq,780521,52
46,EDNA-2025-WGH-046,Western Ghats Rainforest Corridor,SITE-WGH-003,2025-11-24 11:00:00,Citizen Science Network,4.57,18.2,6.79,7.82,3.7,5000,PacBio Sequel IIe,238338,47
47,EDNA-2026-WGH-047,Western Ghats Rainforest Corridor,SITE-WGH-003,2026-05-21 12:00:00,Kavita Rao,4.92,24.6,7.68,6.26,1.8,2500,Illumina NovaSeq 6000,408486,55
48,EDNA-2025-KZR-048,Kaziranga Floodplain Sanctuary,SITE-KZR-002,2025-09-24 12:00:00,Dr. Evelyn Vance,6.04,24.3,6.51,9.6,28.1,3000,Illumina NovaSeq 6000,481036,44
49,EDNA-2025-WGH-049,Western Ghats Rainforest Corridor,SITE-WGH-003,2025-11-09 18:00:00,Ranger Patrol Alpha,8.32,25.9,7.2,10.16,11.6,3000,PacBio Sequel IIe,264148,61
50,EDNA-2026-WGH-050,Western Ghats Rainforest Corridor,SITE-WGH-003,2026-02-26 07:00:00,Maya Lin,8.44,22.2,6.64,10.08,24.0,1500,Oxford Nanopore GridION,665494,61
51,EDNA-2026-PER-051,Periyar Cardamom Hills Watershed,SITE-PER-007,2026-05-31 12:00:00,Citizen Science Network,2.18,23.2,6.69,5.57,25.1,1500,Illumina NovaSeq 6000,872267,44
52,EDNA-2026-SND-052,Sundarbans Mangrove Biosphere,SITE-SND-001,2026-01-02 09:00:00,Dr. Aris Thorne,1.13,17.0,7.54,8.51,2.5,1500,PacBio Sequel IIe,640285,32
53,EDNA-2025-CBT-053,Jim Corbett Himalayan Foothills,SITE-CBT-004,2025-09-29 08:00:00,Tenzing Norgay Eco-Team,8.45,19.9,8.14,7.78,17.0,2500,Illumina MiSeq,496422,74
54,EDNA-2026-WGH-054,Western Ghats Rainforest Corridor,SITE-WGH-003,2026-05-25 09:00:00,Kavita Rao,2.76,17.4,8.2,9.51,26.1,3000,PacBio Sequel IIe,229161,40
55,EDNA-2026-PER-055,Periyar Cardamom Hills Watershed,SITE-PER-007,2026-05-27 11:00:00,Ranger Patrol Alpha,3.71,18.7,7.12,8.8,14.1,2000,Oxford Nanopore GridION,921948,27
