occurrence_id,scientific_name,common_name,taxonomic_group,conservation_status,site_name,site_code,latitude,longitude,coordinate_uncertainty_meters,observed_at,individual_count,observation_method,observer,confidence_score,is_threat_alert
GBIF-BIOINTEL-2026-0026,Cuon alpinus,Dhole / Asiatic Wild Dog,Mammalia,EN,Western Ghats Rainforest Corridor,SITE-WGH-003,10.75575,76.72851,100,2026-02-16 02:54:00,1,HUMAN_OBSERVATION,Maya Lin,0.89,True
GBIF-BIOINTEL-2026-0027,Manis crassicaudata,Indian Pangolin,Mammalia,EN,Sundarbans Mangrove Biosphere,SITE-SND-001,21.95957,88.79491,25,2026-01-01 21:37:00,1,PASSIVE_ACOUSTIC,Maya Lin,0.85,True
GBIF-BIOINTEL-2026-0028,Wallago attu,Helicopter Catfish,Actinopterygii,VU,Manas Transboundary River Reserve,SITE-MNS-005,26.69,90.96485,100,2025-08-07 21:41:00,1,CAMERA_TRAP,Dr. Aris Thorne,0.9,False
GBIF-BIOINTEL-2026-0029,Pitta brachyura,Indian Pitta,Aves,LC,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.77998,93.46426,50,2026-02-15 08:08:00,6,HUMAN_OBSERVATION,Citizen Science Network,0.87,False
GBIF-BIOINTEL-2026-0030,Elephas maximus,Asian Elephant,Mammalia,EN,Manas Transboundary River Reserve,SITE-MNS-005,26.87953,90.90108,5,2026-05-08 17:19:00,1,HUMAN_OBSERVATION,Ranger Patrol Alpha,0.86,True
GBIF-BIOINTEL-2026-0031,Psittacula krameri,Rose-Ringed Parakeet,Aves,LC,Western Ghats Rainforest Corridor,SITE-WGH-003,10.91528,76.61108,5,2025-10-23 19:13:00,9,PASSIVE_ACOUSTIC,Dr. Aris Thorne,0.9,False
GBIF-BIOINTEL-2026-0032,Crocodylus porosus,Saltwater Crocodile,Reptilia,LC,Periyar Cardamom Hills Watershed,SITE-PER-007,9.54134,77.18113,50,2025-06-23 00:21:00,1,PASSIVE_ACOUSTIC,Tenzing Norgay Eco-Team,0.85,False
GBIF-BIOINTEL-2026-0033,Elephas maximus,Asian Elephant,Mammalia,EN,Periyar Cardamom Hills Watershed,SITE-PER-007,9.51731,77.03472,100,2025-07-28 02:56:00,1,CAMERA_TRAP,Tenzing Norgay Eco-Team,0.96,True
GBIF-BIOINTEL-2026-0034,Lantana camara,Lantana Weed,Plantae,LC,Western Ghats Rainforest Corridor,SITE-WGH-003,10.8094,76.82993,10,2025-08-05 01:19:00,6,CAMERA_TRAP,Ranger Patrol Alpha,0.86,True
GBIF-BIOINTEL-2026-0035,Bungarus caeruleus,Common Krait,Reptilia,LC,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.76241,93.49215,10,2026-07-05 17:56:00,1,HUMAN_OBSERVATION,Citizen Science Network,0.98,False
GBIF-BIOINTEL-2026-0036,Ardea insignis,White-Bellied Heron,Aves,CR,Western Ghats Rainforest Corridor,SITE-WGH-003,10.92097,76.64966,10,2025-12-29 00:11:00,11,EDNA_ASSAY,Dr. Evelyn Vance,0.97,True
GBIF-BIOINTEL-2026-0037,Bubalus arnee,Wild Water Buffalo,Mammalia,EN,Western Ghats Rainforest Corridor,SITE-WGH-003,10.84121,76.60987,10,2025-12-13 01:54:00,1,EDNA_ASSAY,Maya Lin,0.88,True
GBIF-BIOINTEL-2026-0038,Pavo cristatus,Indian Peafowl,Aves,LC,Sundarbans Mangrove Biosphere,SITE-SND-001,22.04931,88.99007,50,2025-12-22 10:17:00,6,PASSIVE_ACOUSTIC,Ranger Patrol Alpha,0.93,False
GBIF-BIOINTEL-2026-0039,Panthera pardus,Leopard,Mammalia,VU,Gir Asiatic Lion Sanctuary,SITE-GIR-006,21.14418,70.96507,50,2025-07-30 08:11:00,1,CAMERA_TRAP,Dr. Evelyn Vance,0.84,False
GBIF-BIOINTEL-2026-0040,Lantana camara,Lantana Weed,Plantae,LC,Gir Asiatic Lion Sanctuary,SITE-GIR-006,21.08556,70.84298,5,2026-04-07 16:07:00,1,PASSIVE_ACOUSTIC,Tenzing Norgay Eco-Team,0.94,True
GBIF-BIOINTEL-2026-0041,Melanochelys trijuga,Indian Black Turtle,Reptilia,NT,Jim Corbett Himalayan Foothills,SITE-CBT-004,29.65623,78.99695,25,2026-01-07 02:42:00,1,CAMERA_TRAP,Tenzing Norgay Eco-Team,0.94,False
GBIF-BIOINTEL-2026-0042,Dawkinsia denisonii,Denison Barb / Miss Kerala,Actinopterygii,EN,Manas Transboundary River Reserve,SITE-MNS-005,26.6887,90.90819,10,2025-11-15 12:44:00,11,EDNA_ASSAY,Tenzing Norgay Eco-Team,0.98,True
GBIF-BIOINTEL-2026-0043,Horabagrus brachysoma,Sun Catfish,Actinopterygii,VU,Manas Transboundary River Reserve,SITE-MNS-005,26.68607,90.99897,50,2026-03-08 00:19:00,10,DRONE_SURVEY,Kavita Rao,0.93,False
GBIF-BIOINTEL-2026-0044,Pitta brachyura,Indian Pitta,Aves,LC,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.60035,96.46881,100,2026-02-17 15:50:00,11,HUMAN_OBSERVATION,Ranger Patrol Alpha,0.83,False
GBIF-BIOINTEL-2026-0045,Loris tardigradus,Slender Loris,Mammalia,EN,Gir Asiatic Lion Sanctuary,SITE-GIR-006,21.06313,70.91197,10,2026-07-25 07:43:00,1,HUMAN_OBSERVATION,Kavita Rao,0.82,True
GBIF-BIOINTEL-2026-0046,Rhizophora mangle,Red Mangrove,Plantae,LC,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.55833,93.40891,5,2025-12-30 20:36:00,7,EDNA_ASSAY,Citizen Science Network,0.86,False
GBIF-BIOINTEL-2026-0047,Hypophthalmichthys nobilis,Bighead Carp,Actinopterygii,LC,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.78739,93.35539,5,2025-09-21 05:51:00,9,CAMERA_TRAP,Kavita Rao,0.86,True
GBIF-BIOINTEL-2026-0048,Ficus benghalensis,Banyan Tree,Plantae,LC,Western Ghats Rainforest Corridor,SITE-WGH-003,10.87864,76.83501,100,2026-05-08 16:35:00,10,EDNA_ASSAY,Kavita Rao,0.96,False
GBIF-BIOINTEL-2026-0049,Buceros bicornis,Great Hornbill,Aves,VU,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.40776,96.30417,10,2026-06-16 15:28:00,9,PASSIVE_ACOUSTIC,Dr. Evelyn Vance,0.9,False
GBIF-BIOINTEL-2026-0050,Melursus ursinus,Sloth Bear,Mammalia,VU,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.41151,96.32591,10,2026-06-01 09:15:00,1,DRONE_SURVEY,Maya Lin,0.83,False
GBIF-BIOINTEL-2026-0051,Macaca radiata,Bonnet Macaque,Mammalia,LC,Periyar Cardamom Hills Watershed,SITE-PER-007,9.43446,77.08926,10,2026-05-28 06:04:00,1,EDNA_ASSAY,Citizen Science Network,0.89,False
GBIF-BIOINTEL-2026-0052,Tenualosa ilisha,Hilsa Shad,Actinopterygii,LC,Periyar Cardamom Hills Watershed,SITE-PER-007,9.31586,77.2542,25,2026-06-30 18:44:00,7,DRONE_SURVEY,Dr. Evelyn Vance,0.9,False
GBIF-BIOINTEL-2026-0053,Oreochromis niloticus,Nile Tilapia,Actinopterygii,LC,Periyar Cardamom Hills Watershed,SITE-PER-007,9.47384,77.17098,50,2026-03-03 23:47:00,8,HUMAN_OBSERVATION,Kavita Rao,0.86,True
GBIF-BIOINTEL-2026-0054,Tenualosa ilisha,Hilsa Shad,Actinopterygii,LC,Sundarbans Mangrove Biosphere,SITE-SND-001,22.02944,88.91725,100,2025-11-20 21:43:00,3,EDNA_ASSAY,Dr. Aris Thorne,0.99,False
GBIF-BIOINTEL-2026-0055,Panthera pardus,Leopard,Mammalia,VU,Periyar Cardamom Hills Watershed,SITE-PER-007,9.35071,77.12851,25,2025-07-13 20:27:00,1,CAMERA_TRAP,Maya Lin,0.86,False
GBIF-BIOINTEL-2026-0056,Rhacophorus malabaricus,Malabar Gliding Frog,Amphibia,LC,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.5556,96.47958,100,2025-11-20 12:17:00,2,PASSIVE_ACOUSTIC,Dr. Aris Thorne,0.9,False
GBIF-BIOINTEL-2026-0057,Bubo bubo,Eurasian Eagle-Owl,Aves,LC,Gir Asiatic Lion Sanctuary,SITE-GIR-006,21.25719,70.68208,5,2026-04-29 02:49:00,4,CAMERA_TRAP,Tenzing Norgay Eco-Team,0.85,False
GBIF-BIOINTEL-2026-0058,Ciconia boyciana,Oriental Stork,Aves,EN,Western Ghats Rainforest Corridor,SITE-WGH-003,10.73432,76.83433,25,2025-08-04 15:42:00,12,EDNA_ASSAY,Maya Lin,0.86,True
GBIF-BIOINTEL-2026-0059,Buceros bicornis,Great Hornbill,Aves,VU,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.5077,93.29359,10,2025-11-07 03:37:00,7,EDNA_ASSAY,Dr. Aris Thorne,0.98,False
GBIF-BIOINTEL-2026-0060,Bubalus arnee,Wild Water Buffalo,Mammalia,EN,Jim Corbett Himalayan Foothills,SITE-CBT-004,29.58528,79.05166,25,2026-05-23 09:54:00,1,DRONE_SURVEY,Tenzing Norgay Eco-Team,0.95,True
GBIF-BIOINTEL-2026-0061,Tor putitora,Golden Mahseer,Actinopterygii,EN,Periyar Cardamom Hills Watershed,SITE-PER-007,9.41237,77.24487,25,2025-07-06 16:41:00,2,EDNA_ASSAY,Ranger Patrol Alpha,0.89,True
GBIF-BIOINTEL-2026-0062,Macaca radiata,Bonnet Macaque,Mammalia,LC,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.48652,96.42514,100,2026-01-09 05:46:00,1,DRONE_SURVEY,Citizen Science Network,0.96,False
GBIF-BIOINTEL-2026-0063,Ficus benghalensis,Banyan Tree,Plantae,LC,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.41052,96.48551,10,2026-01-10 23:37:00,5,CAMERA_TRAP,Citizen Science Network,0.97,False
GBIF-BIOINTEL-2026-0064,Channa marulius,Great Snakehead,Actinopterygii,LC,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.58529,96.28455,25,2025-11-20 00:31:00,6,HUMAN_OBSERVATION,Dr. Evelyn Vance,0.96,False
GBIF-BIOINTEL-2026-0065,Elephas maximus,Asian Elephant,Mammalia,EN,Manas Transboundary River Reserve,SITE-MNS-005,26.67241,90.99193,50,2026-02-20 06:05:00,1,DRONE_SURVEY,Ranger Patrol Alpha,0.95,True
GBIF-BIOINTEL-2026-0066,Avicennia marina,Grey Mangrove,Plantae,LC,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.41827,96.35132,25,2026-07-11 00:05:00,5,HUMAN_OBSERVATION,Kavita Rao,0.93,False
GBIF-BIOINTEL-2026-0067,Hypophthalmichthys nobilis,Bighead Carp,Actinopterygii,LC,Gir Asiatic Lion Sanctuary,SITE-GIR-006,21.07554,70.80612,10,2026-06-17 17:21:00,5,PASSIVE_ACOUSTIC,Dr. Evelyn Vance,0.86,True
GBIF-BIOINTEL-2026-0068,Strix aluco,Tawny Owl,Aves,LC,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.64526,93.41738,5,2025-09-07 06:47:00,10,DRONE_SURVEY,Citizen Science Network,0.87,False
GBIF-BIOINTEL-2026-0069,Ophiophagus hannah,King Cobra,Reptilia,VU,Jim Corbett Himalayan Foothills,SITE-CBT-004,29.47068,79.02241,5,2025-09-25 11:11:00,1,HUMAN_OBSERVATION,Tenzing Norgay Eco-Team,0.87,False
GBIF-BIOINTEL-2026-0070,Prionailurus viverrinus,Fishing Cat,Mammalia,VU,Manas Transboundary River Reserve,SITE-MNS-005,26.86182,91.04222,25,2026-04-23 15:06:00,1,EDNA_ASSAY,Maya Lin,0.9,False
GBIF-BIOINTEL-2026-0071,Corvus splendens,House Crow,Aves,LC,Sundarbans Mangrove Biosphere,SITE-SND-001,21.8096,88.84752,10,2026-01-31 03:52:00,11,DRONE_SURVEY,Maya Lin,0.94,False
GBIF-BIOINTEL-2026-0072,Manis crassicaudata,Indian Pangolin,Mammalia,EN,Manas Transboundary River Reserve,SITE-MNS-005,26.82933,91.0519,100,2025-10-06 03:35:00,1,DRONE_SURVEY,Kavita Rao,0.86,True
GBIF-BIOINTEL-2026-0073,Eichhornia crassipes,Water Hyacinth,Plantae,LC,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.42161,96.41631,10,2025-10-31 18:27:00,12,DRONE_SURVEY,Ranger Patrol Alpha,0.84,True
GBIF-BIOINTEL-2026-0074,Eurystomus orientalis,Dollarbird,Aves,LC,Jim Corbett Himalayan Foothills,SITE-CBT-004,29.45196,78.9756,100,2026-05-05 02:10:00,1,HUMAN_OBSERVATION,Kavita Rao,0.89,False
GBIF-BIOINTEL-2026-0075,Platanista gangetica,Ganges River Dolphin,Mammalia,EN,Manas Transboundary River Reserve,SITE-MNS-005,26.68482,91.12788,25,2025-09-27 09:45:00,1,CAMERA_TRAP,Citizen Science Network,0.94,True
GBIF-BIOINTEL-2026-0076,Hypophthalmichthys nobilis,Bighead Carp,Actinopterygii,LC,Jim Corbett Himalayan Foothills,SITE-CBT-004,29.57429,79.08252,25,2025-07-29 17:14:00,2,HUMAN_OBSERVATION,Tenzing Norgay Eco-Team,0.83,True
GBIF-BIOINTEL-2026-0077,Eichhornia crassipes,Water Hyacinth,Plantae,LC,Manas Transboundary River Reserve,SITE-MNS-005,26.69123,90.99075,50,2025-08-03 14:44:00,9,PASSIVE_ACOUSTIC,Dr. Aris Thorne,0.91,True
GBIF-BIOINTEL-2026-0078,Lantana camara,Lantana Weed,Plantae,LC,Sundarbans Mangrove Biosphere,SITE-SND-001,21.86511,88.7274,25,2026-06-12 10:38:00,10,DRONE_SURVEY,Tenzing Norgay Eco-Team,0.98,True
GBIF-BIOINTEL-2026-0079,Ardea insignis,White-Bellied Heron,Aves,CR,Sundarbans Mangrove Biosphere,SITE-SND-001,21.92267,88.78345,50,2026-01-27 16:41:00,7,DRONE_SURVEY,Dr. Aris Thorne,0.93,True
GBIF-BIOINTEL-2026-0080,Naja naja,Spectacled Cobra,Reptilia,LC,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.53104,96.48732,50,2025-12-27 10:20:00,1,PASSIVE_ACOUSTIC,Dr. Evelyn Vance,0.89,False
GBIF-BIOINTEL-2026-0081,Platanista gangetica,Ganges River Dolphin,Mammalia,EN,Periyar Cardamom Hills Watershed,SITE-PER-007,9.38572,77.02478,5,2026-01-19 02:20:00,1,EDNA_ASSAY,Ranger Patrol Alpha,0.97,True
GBIF-BIOINTEL-2026-0082,Dawkinsia denisonii,Denison Barb / Miss Kerala,Actinopterygii,EN,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.43853,96.45693,100,2025-06-28 06:33:00,1,EDNA_ASSAY,Maya Lin,0.85,True
GBIF-BIOINTEL-2026-0083,Eichhornia crassipes,Water Hyacinth,Plantae,LC,Manas Transboundary River Reserve,SITE-MNS-005,26.60866,91.05901,100,2026-05-24 15:07:00,12,HUMAN_OBSERVATION,Dr. Aris Thorne,0.85,True
GBIF-BIOINTEL-2026-0084,Loris tardigradus,Slender Loris,Mammalia,EN,Periyar Cardamom Hills Watershed,SITE-PER-007,9.59412,77.18431,25,2025-09-24 03:29:00,1,HUMAN_OBSERVATION,Tenzing Norgay Eco-Team,0.9,True
GBIF-BIOINTEL-2026-0085,Oreochromis niloticus,Nile Tilapia,Actinopterygii,LC,Manas Transboundary River Reserve,SITE-MNS-005,26.73704,90.91339,10,2026-02-03 15:15:00,10,HUMAN_OBSERVATION,Citizen Science Network,0.91,True
GBIF-BIOINTEL-2026-0086,Crocodylus porosus,Saltwater Crocodile,Reptilia,LC,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.78027,93.35232,25,2026-07-01 13:21:00,1,CAMERA_TRAP,Citizen Science Network,0.87,False
GBIF-BIOINTEL-2026-0087,Macaca radiata,Bonnet Macaque,Mammalia,LC,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.43354,96.39558,25,2026-01-15 17:30:00,1,DRONE_SURVEY,Citizen Science Network,0.88,False
GBIF-BIOINTEL-2026-0088,Ciconia boyciana,Oriental Stork,Aves,EN,Jim Corbett Himalayan Foothills,SITE-CBT-004,29.6368,78.93323,50,2026-03-20 12:14:00,12,PASSIVE_ACOUSTIC,Kavita Rao,0.9,True
GBIF-BIOINTEL-2026-0089,Atta cephalotes,Leafcutter Ant,Insecta,LC,Western Ghats Rainforest Corridor,SITE-WGH-003,10.98961,76.6496,50,2025-06-19 04:32:00,8,CAMERA_TRAP,Dr. Aris Thorne,0.84,False
GBIF-BIOINTEL-2026-0090,Dawkinsia denisonii,Denison Barb / Miss Kerala,Actinopterygii,EN,Western Ghats Rainforest Corridor,SITE-WGH-003,10.84085,76.84076,5,2026-05-02 04:04:00,10,PASSIVE_ACOUSTIC,Citizen Science Network,0.94,True
GBIF-BIOINTEL-2026-0091,Channa marulius,Great Snakehead,Actinopterygii,LC,Gir Asiatic Lion Sanctuary,SITE-GIR-006,21.23623,70.81638,10,2025-11-10 20:45:00,1,DRONE_SURVEY,Ranger Patrol Alpha,0.92,False
GBIF-BIOINTEL-2026-0092,Haliaeetus leucogaster,White-Bellied Sea-Eagle,Aves,LC,Manas Transboundary River Reserve,SITE-MNS-005,26.8935,91.09811,25,2026-06-18 02:27:00,8,CAMERA_TRAP,Dr. Aris Thorne,0.85,False
GBIF-BIOINTEL-2026-0093,Rhacophorus malabaricus,Malabar Gliding Frog,Amphibia,LC,Sundarbans Mangrove Biosphere,SITE-SND-001,21.89754,88.82921,10,2026-07-13 01:18:00,9,HUMAN_OBSERVATION,Maya Lin,0.89,False
GBIF-BIOINTEL-2026-0094,Manis crassicaudata,Indian Pangolin,Mammalia,EN,Western Ghats Rainforest Corridor,SITE-WGH-003,10.90494,76.6993,50,2026-04-09 12:39:00,1,DRONE_SURVEY,Ranger Patrol Alpha,0.84,True
GBIF-BIOINTEL-2026-0095,Rhizophora mangle,Red Mangrove,Plantae,LC,Manas Transboundary River Reserve,SITE-MNS-005,26.86967,91.00958,5,2025-10-09 21:00:00,11,PASSIVE_ACOUSTIC,Kavita Rao,0.91,False
GBIF-BIOINTEL-2026-0096,Varanus salvator,Water Monitor,Reptilia,LC,Gir Asiatic Lion Sanctuary,SITE-GIR-006,21.04503,70.92359,50,2026-04-24 13:44:00,1,HUMAN_OBSERVATION,Dr. Aris Thorne,0.99,False
GBIF-BIOINTEL-2026-0097,Channa marulius,Great Snakehead,Actinopterygii,LC,Jim Corbett Himalayan Foothills,SITE-CBT-004,29.46876,79.01978,5,2026-03-20 11:36:00,11,CAMERA_TRAP,Tenzing Norgay Eco-Team,0.89,False
GBIF-BIOINTEL-2026-0098,Atta cephalotes,Leafcutter Ant,Insecta,LC,Sundarbans Mangrove Biosphere,SITE-SND-001,22.03058,88.7657,10,2025-10-25 07:38:00,10,HUMAN_OBSERVATION,Ranger Patrol Alpha,0.86,False
GBIF-BIOINTEL-2026-0099,Ailurus fulgens,Red Panda,Mammalia,EN,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.67387,93.41971,25,2025-11-06 14:02:00,1,CAMERA_TRAP,Ranger Patrol Alpha,0.97,True
GBIF-BIOINTEL-2026-0100,Ardea insignis,White-Bellied Heron,Aves,CR,Periyar Cardamom Hills Watershed,SITE-PER-007,9.47182,77.28145,10,2025-09-11 04:50:00,9,DRONE_SURVEY,Dr. Evelyn Vance,0.98,True
GBIF-BIOINTEL-2026-0101,Ophiophagus hannah,King Cobra,Reptilia,VU,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.36455,96.51887,10,2026-06-18 10:51:00,1,HUMAN_OBSERVATION,Citizen Science Network,0.95,False
GBIF-BIOINTEL-2026-0102,Melanochelys trijuga,Indian Black Turtle,Reptilia,NT,Periyar Cardamom Hills Watershed,SITE-PER-007,9.38934,77.02708,25,2025-07-17 12:00:00,1,PASSIVE_ACOUSTIC,Tenzing Norgay Eco-Team,0.93,False
GBIF-BIOINTEL-2026-0103,Tor putitora,Golden Mahseer,Actinopterygii,EN,Periyar Cardamom Hills Watershed,SITE-PER-007,9.45144,77.17586,10,2025-07-26 21:14:00,6,DRONE_SURVEY,Ranger Patrol Alpha,0.98,True
GBIF-BIOINTEL-2026-0104,Ficus benghalensis,Banyan Tree,Plantae,LC,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.62249,93.24193,5,2026-05-25 09:41:00,5,CAMERA_TRAP,Dr. Aris Thorne,0.99,False
GBIF-BIOINTEL-2026-0105,Axis axis,Chital / Spotted Deer,Mammalia,LC,Jim Corbett Himalayan Foothills,SITE-CBT-004,29.58115,79.03294,10,2025-12-16 14:23:00,1,DRONE_SURVEY,Kavita Rao,0.89,False
GBIF-BIOINTEL-2026-0106,Apis dorsata,Giant Honeybee,Insecta,LC,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.50981,93.31116,25,2026-04-12 13:17:00,8,EDNA_ASSAY,Dr. Aris Thorne,0.98,False
