detection_id,recording_file,site_name,site_code,scientific_name,common_name,taxonomic_group,start_time_seconds,end_time_seconds,duration_seconds,min_frequency_hz,max_frequency_hz,model_confidence,verification_status,classifier_model
11,tawny_owl_call.wav,Manas Transboundary River Reserve,SITE-MNS-005,Neofelis nebulosa,Clouded Leopard,Mammalia,37.7,46.1,8.4,1200,5000,0.97,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
12,rainforest_night_canopy.wav,Manas Transboundary River Reserve,SITE-MNS-005,Ailurus fulgens,Red Panda,Mammalia,8.9,11.8,2.9,2200,6000,0.92,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
13,forest_ambient_soundscape.wav,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,Ailurus fulgens,Red Panda,Mammalia,105.0,109.9,4.9,1200,1800,0.9,VERIFIED_AI,BioNet-AudioClassifier-v2.4
14,rainforest_night_canopy.wav,Periyar Cardamom Hills Watershed,SITE-PER-007,Hoolock hoolock,Western Hoolock Gibbon,Mammalia,43.4,46.5,3.1,800,4600,0.92,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
15,forest_ambient_soundscape.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Bubo bubo,Eurasian Eagle-Owl,Aves,49.7,51.4,1.7,450,1550,0.94,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
16,tawny_owl_call.wav,Western Ghats Rainforest Corridor,SITE-WGH-003,Neofelis nebulosa,Clouded Leopard,Mammalia,30.4,35.0,4.6,1200,1800,0.89,VERIFIED_AI,BioNet-AudioClassifier-v2.4
17,rainforest_night_canopy.wav,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,Macaca radiata,Bonnet Macaque,Mammalia,83.9,91.3,7.4,250,1350,0.94,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
18,riverine_dawn_chorus.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Bubalus arnee,Wild Water Buffalo,Mammalia,150.6,154.2,3.6,250,1350,0.97,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
19,tawny_owl_call.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Macaca radiata,Bonnet Macaque,Mammalia,47.6,56.0,8.4,250,4050,0.95,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
20,tawny_owl_call.wav,Kaziranga Floodplain Sanctuary,SITE-KZR-002,Haliaeetus leucogaster,White-Bellied Sea-Eagle,Aves,19.2,26.2,7.0,250,850,0.79,VERIFIED_AI,BioNet-AudioClassifier-v2.4
21,forest_ambient_soundscape.wav,Western Ghats Rainforest Corridor,SITE-WGH-003,Trachypithecus geei,Golden Langur,Mammalia,148.4,152.3,3.9,250,2650,0.96,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
22,rainforest_night_canopy.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Platanista gangetica,Ganges River Dolphin,Mammalia,36.4,42.3,5.9,450,1050,0.96,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
23,riverine_dawn_chorus.wav,Kaziranga Floodplain Sanctuary,SITE-KZR-002,Rhinoceros unicornis,Greater One-Horned Rhinoceros,Mammalia,169.7,171.3,1.6,2200,6000,0.94,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
24,rainforest_night_canopy.wav,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,Elephas maximus,Asian Elephant,Mammalia,69.5,73.8,4.3,800,1900,0.96,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
25,riverine_dawn_chorus.wav,Manas Transboundary River Reserve,SITE-MNS-005,Bubo bubo,Eurasian Eagle-Owl,Aves,159.1,160.6,1.5,2200,3300,0.91,VERIFIED_AI,BioNet-AudioClassifier-v2.4
26,tawny_owl_call.wav,Periyar Cardamom Hills Watershed,SITE-PER-007,Nasikabatrachus sahyadrensis,Purple Frog,Amphibia,86.7,88.5,1.8,1200,2300,0.86,VERIFIED_AI,BioNet-AudioClassifier-v2.4
27,rainforest_night_canopy.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Pavo cristatus,Indian Peafowl,Aves,141.0,144.8,3.8,2200,6000,0.85,VERIFIED_AI,BioNet-AudioClassifier-v2.4
28,rainforest_night_canopy.wav,Periyar Cardamom Hills Watershed,SITE-PER-007,Axis axis,Chital / Spotted Deer,Mammalia,33.2,36.7,3.5,450,1050,0.96,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
29,tawny_owl_call.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Ciconia boyciana,Oriental Stork,Aves,95.8,102.6,6.8,450,1550,0.8,VERIFIED_AI,BioNet-AudioClassifier-v2.4
30,riverine_dawn_chorus.wav,Manas Transboundary River Reserve,SITE-MNS-005,Psittacula krameri,Rose-Ringed Parakeet,Aves,147.1,155.0,7.9,250,1350,0.9,VERIFIED_AI,BioNet-AudioClassifier-v2.4
31,rainforest_night_canopy.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Loris tardigradus,Slender Loris,Mammalia,32.5,38.0,5.5,800,1400,0.92,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
32,forest_ambient_soundscape.wav,Western Ghats Rainforest Corridor,SITE-WGH-003,Rhacophorus malabaricus,Malabar Gliding Frog,Amphibia,170.8,178.1,7.3,1200,3600,0.82,VERIFIED_AI,BioNet-AudioClassifier-v2.4
33,tawny_owl_call.wav,Kaziranga Floodplain Sanctuary,SITE-KZR-002,Panthera pardus,Leopard,Mammalia,42.6,45.4,2.8,2200,6000,0.78,VERIFIED_AI,BioNet-AudioClassifier-v2.4
34,tawny_owl_call.wav,Western Ghats Rainforest Corridor,SITE-WGH-003,Gyps bengalensis,White-Rumped Vulture,Aves,129.3,137.2,7.9,800,1400,0.78,VERIFIED_AI,BioNet-AudioClassifier-v2.4
35,rainforest_night_canopy.wav,Kaziranga Floodplain Sanctuary,SITE-KZR-002,Eurystomus orientalis,Dollarbird,Aves,155.1,163.3,8.2,800,4600,0.9,VERIFIED_AI,BioNet-AudioClassifier-v2.4
36,tawny_owl_call.wav,Manas Transboundary River Reserve,SITE-MNS-005,Buceros bicornis,Great Hornbill,Aves,25.4,27.7,2.3,1200,5000,0.91,VERIFIED_AI,BioNet-AudioClassifier-v2.4
37,rainforest_night_canopy.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Moschus chrysogaster,Alpine Musk Deer,Mammalia,120.1,127.2,7.1,1200,3600,0.93,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
38,forest_ambient_soundscape.wav,Western Ghats Rainforest Corridor,SITE-WGH-003,Loris tardigradus,Slender Loris,Mammalia,131.5,139.6,8.1,2200,6000,0.95,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
39,forest_ambient_soundscape.wav,Western Ghats Rainforest Corridor,SITE-WGH-003,Indirana beddomii,Beddome's Leaping Frog,Amphibia,58.0,65.1,7.1,2200,3300,0.91,VERIFIED_AI,BioNet-AudioClassifier-v2.4
40,forest_ambient_soundscape.wav,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,Melursus ursinus,Sloth Bear,Mammalia,60.3,62.1,1.8,800,3200,0.81,VERIFIED_AI,BioNet-AudioClassifier-v2.4
41,forest_ambient_soundscape.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Bubo bubo,Eurasian Eagle-Owl,Aves,3.0,5.7,2.7,250,2650,0.83,VERIFIED_AI,BioNet-AudioClassifier-v2.4
42,riverine_dawn_chorus.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Panthera pardus,Leopard,Mammalia,70.1,76.6,6.5,450,4250,0.88,VERIFIED_AI,BioNet-AudioClassifier-v2.4
43,forest_ambient_soundscape.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Psittacula krameri,Rose-Ringed Parakeet,Aves,68.2,75.5,7.3,2200,3300,0.81,VERIFIED_AI,BioNet-AudioClassifier-v2.4
44,riverine_dawn_chorus.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Sus scrofa,Wild Boar,Mammalia,4.6,7.7,3.1,250,850,0.85,VERIFIED_AI,BioNet-AudioClassifier-v2.4
45,riverine_dawn_chorus.wav,Western Ghats Rainforest Corridor,SITE-WGH-003,Platanista gangetica,Ganges River Dolphin,Mammalia,98.9,106.7,7.8,250,2650,0.9,VERIFIED_AI,BioNet-AudioClassifier-v2.4
46,rainforest_night_canopy.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Pitta brachyura,Indian Pitta,Aves,169.7,172.1,2.4,1200,2300,0.79,VERIFIED_AI,BioNet-AudioClassifier-v2.4
47,rainforest_night_canopy.wav,Jim Corbett Himalayan Foothills,SITE-CBT-004,Trachypithecus geei,Golden Langur,Mammalia,74.3,79.5,5.2,2200,4600,0.91,VERIFIED_AI,BioNet-AudioClassifier-v2.4
48,forest_ambient_soundscape.wav,Jim Corbett Himalayan Foothills,SITE-CBT-004,Neofelis nebulosa,Clouded Leopard,Mammalia,9.9,15.3,5.4,1200,2300,0.79,VERIFIED_AI,BioNet-AudioClassifier-v2.4
49,forest_ambient_soundscape.wav,Periyar Cardamom Hills Watershed,SITE-PER-007,Ailurus fulgens,Red Panda,Mammalia,53.7,59.7,6.0,2200,6000,0.82,VERIFIED_AI,BioNet-AudioClassifier-v2.4
50,riverine_dawn_chorus.wav,Jim Corbett Himalayan Foothills,SITE-CBT-004,Manis crassicaudata,Indian Pangolin,Mammalia,115.2,123.5,8.3,1200,1800,0.84,VERIFIED_AI,BioNet-AudioClassifier-v2.4
51,riverine_dawn_chorus.wav,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,Eudynamys scolopaceus,Asian Koel,Aves,161.2,164.3,3.1,2200,6000,0.82,VERIFIED_AI,BioNet-AudioClassifier-v2.4
52,rainforest_night_canopy.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Loris tardigradus,Slender Loris,Mammalia,80.8,83.9,3.1,1200,3600,0.83,VERIFIED_AI,BioNet-AudioClassifier-v2.4
53,riverine_dawn_chorus.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Melursus ursinus,Sloth Bear,Mammalia,135.7,141.8,6.1,250,2650,0.94,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
54,riverine_dawn_chorus.wav,Jim Corbett Himalayan Foothills,SITE-CBT-004,Nasikabatrachus sahyadrensis,Purple Frog,Amphibia,11.9,15.9,4.0,2200,6000,0.97,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
55,riverine_dawn_chorus.wav,Jim Corbett Himalayan Foothills,SITE-CBT-004,Ciconia boyciana,Oriental Stork,Aves,54.5,58.6,4.1,250,1350,0.8,VERIFIED_AI,BioNet-AudioClassifier-v2.4
56,riverine_dawn_chorus.wav,Western Ghats Rainforest Corridor,SITE-WGH-003,Manis crassicaudata,Indian Pangolin,Mammalia,175.0,182.1,7.1,450,1050,0.86,VERIFIED_AI,BioNet-AudioClassifier-v2.4
57,riverine_dawn_chorus.wav,Jim Corbett Himalayan Foothills,SITE-CBT-004,Melursus ursinus,Sloth Bear,Mammalia,150.3,153.4,3.1,250,850,0.86,VERIFIED_AI,BioNet-AudioClassifier-v2.4
58,tawny_owl_call.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Axis axis,Chital / Spotted Deer,Mammalia,94.0,101.9,7.9,250,4050,0.8,VERIFIED_AI,BioNet-AudioClassifier-v2.4
59,forest_ambient_soundscape.wav,Western Ghats Rainforest Corridor,SITE-WGH-003,Rhacophorus malabaricus,Malabar Gliding Frog,Amphibia,106.2,112.9,6.7,250,850,0.89,VERIFIED_AI,BioNet-AudioClassifier-v2.4
60,riverine_dawn_chorus.wav,Manas Transboundary River Reserve,SITE-MNS-005,Psittacula krameri,Rose-Ringed Parakeet,Aves,158.5,166.1,7.6,800,4600,0.91,VERIFIED_AI,BioNet-AudioClassifier-v2.4
61,rainforest_night_canopy.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Loris tardigradus,Slender Loris,Mammalia,50.3,52.6,2.3,2200,6000,0.79,VERIFIED_AI,BioNet-AudioClassifier-v2.4
62,rainforest_night_canopy.wav,Jim Corbett Himalayan Foothills,SITE-CBT-004,Panthera pardus,Leopard,Mammalia,134.5,142.4,7.9,800,1400,0.85,VERIFIED_AI,BioNet-AudioClassifier-v2.4
63,riverine_dawn_chorus.wav,Manas Transboundary River Reserve,SITE-MNS-005,Axis axis,Chital / Spotted Deer,Mammalia,151.9,159.4,7.5,250,1350,0.81,VERIFIED_AI,BioNet-AudioClassifier-v2.4
64,riverine_dawn_chorus.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Axis axis,Chital / Spotted Deer,Mammalia,131.5,137.1,5.6,250,1350,0.87,VERIFIED_AI,BioNet-AudioClassifier-v2.4
65,riverine_dawn_chorus.wav,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,Eurystomus orientalis,Dollarbird,Aves,156.2,163.4,7.2,2200,3300,0.79,VERIFIED_AI,BioNet-AudioClassifier-v2.4
66,tawny_owl_call.wav,Western Ghats Rainforest Corridor,SITE-WGH-003,Eurystomus orientalis,Dollarbird,Aves,158.4,159.8,1.4,450,1550,0.95,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
67,riverine_dawn_chorus.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Haliaeetus leucogaster,White-Bellied Sea-Eagle,Aves,10.1,13.9,3.8,450,2850,0.85,VERIFIED_AI,BioNet-AudioClassifier-v2.4
68,riverine_dawn_chorus.wav,Periyar Cardamom Hills Watershed,SITE-PER-007,Cuon alpinus,Dhole / Asiatic Wild Dog,Mammalia,122.9,125.9,3.0,1200,5000,0.82,VERIFIED_AI,BioNet-AudioClassifier-v2.4
69,forest_ambient_soundscape.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Ardea insignis,White-Bellied Heron,Aves,30.3,38.0,7.7,250,2650,0.79,VERIFIED_AI,BioNet-AudioClassifier-v2.4
70,rainforest_night_canopy.wav,Western Ghats Rainforest Corridor,SITE-WGH-003,Rhacophorus malabaricus,Malabar Gliding Frog,Amphibia,140.6,143.4,2.8,450,1550,0.92,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
71,tawny_owl_call.wav,Periyar Cardamom Hills Watershed,SITE-PER-007,Corvus splendens,House Crow,Aves,4.6,11.5,6.9,250,4050,0.96,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
72,riverine_dawn_chorus.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Moschus chrysogaster,Alpine Musk Deer,Mammalia,46.2,53.3,7.1,800,3200,0.86,VERIFIED_AI,BioNet-AudioClassifier-v2.4
73,forest_ambient_soundscape.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Haliaeetus leucogaster,White-Bellied Sea-Eagle,Aves,46.1,50.7,4.6,2200,6000,0.9,VERIFIED_AI,BioNet-AudioClassifier-v2.4
74,rainforest_night_canopy.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Nasikabatrachus sahyadrensis,Purple Frog,Amphibia,116.9,122.5,5.6,800,1400,0.88,VERIFIED_AI,BioNet-AudioClassifier-v2.4
75,tawny_owl_call.wav,Manas Transboundary River Reserve,SITE-MNS-005,Buceros bicornis,Great Hornbill,Aves,155.2,158.3,3.1,800,1900,0.81,VERIFIED_AI,BioNet-AudioClassifier-v2.4
76,rainforest_night_canopy.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Indirana beddomii,Beddome's Leaping Frog,Amphibia,73.3,76.8,3.5,450,1050,0.91,VERIFIED_AI,BioNet-AudioClassifier-v2.4
77,tawny_owl_call.wav,Manas Transboundary River Reserve,SITE-MNS-005,Alcedo atthis,Common Kingfisher,Aves,73.4,80.0,6.6,2200,3300,0.85,VERIFIED_AI,BioNet-AudioClassifier-v2.4
78,riverine_dawn_chorus.wav,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,Ardea insignis,White-Bellied Heron,Aves,91.8,99.2,7.4,2200,3300,0.84,VERIFIED_AI,BioNet-AudioClassifier-v2.4
79,tawny_owl_call.wav,Western Ghats Rainforest Corridor,SITE-WGH-003,Prionailurus viverrinus,Fishing Cat,Mammalia,130.8,136.1,5.3,450,2850,0.91,VERIFIED_AI,BioNet-AudioClassifier-v2.4
80,rainforest_night_canopy.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Moschus chrysogaster,Alpine Musk Deer,Mammalia,134.2,137.6,3.4,800,3200,0.83,VERIFIED_AI,BioNet-AudioClassifier-v2.4
81,tawny_owl_call.wav,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,Cuon alpinus,Dhole / Asiatic Wild Dog,Mammalia,85.2,92.7,7.5,2200,2800,0.87,VERIFIED_AI,BioNet-AudioClassifier-v2.4
82,rainforest_night_canopy.wav,Kaziranga Floodplain Sanctuary,SITE-KZR-002,Pavo cristatus,Indian Peafowl,Aves,95.8,100.0,4.2,450,1550,0.98,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
83,tawny_owl_call.wav,Periyar Cardamom Hills Watershed,SITE-PER-007,Rhacophorus malabaricus,Malabar Gliding Frog,Amphibia,160.8,169.2,8.4,450,2850,0.95,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
84,rainforest_night_canopy.wav,Kaziranga Floodplain Sanctuary,SITE-KZR-002,Eudynamys scolopaceus,Asian Koel,Aves,60.5,68.9,8.4,800,1400,0.78,VERIFIED_AI,BioNet-AudioClassifier-v2.4
85,riverine_dawn_chorus.wav,Jim Corbett Himalayan Foothills,SITE-CBT-004,Manis crassicaudata,Indian Pangolin,Mammalia,104.2,106.6,2.4,250,1350,0.9,VERIFIED_AI,BioNet-AudioClassifier-v2.4
86,forest_ambient_soundscape.wav,Periyar Cardamom Hills Watershed,SITE-PER-007,Pitta brachyura,Indian Pitta,Aves,173.8,177.8,4.0,250,1350,0.93,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
87,rainforest_night_canopy.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Eurystomus orientalis,Dollarbird,Aves,35.1,41.2,6.1,450,1550,0.92,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
88,forest_ambient_soundscape.wav,Manas Transboundary River Reserve,SITE-MNS-005,Hoolock hoolock,Western Hoolock Gibbon,Mammalia,19.4,24.3,4.9,800,1900,0.79,VERIFIED_AI,BioNet-AudioClassifier-v2.4
89,tawny_owl_call.wav,Manas Transboundary River Reserve,SITE-MNS-005,Sus scrofa,Wild Boar,Mammalia,82.6,87.6,5.0,2200,4600,0.87,VERIFIED_AI,BioNet-AudioClassifier-v2.4
90,tawny_owl_call.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Eudynamys scolopaceus,Asian Koel,Aves,65.3,67.9,2.6,1200,1800,0.83,VERIFIED_AI,BioNet-AudioClassifier-v2.4
91,rainforest_night_canopy.wav,Jim Corbett Himalayan Foothills,SITE-CBT-004,Elephas maximus,Asian Elephant,Mammalia,106.6,109.0,2.4,800,1400,0.86,VERIFIED_AI,BioNet-AudioClassifier-v2.4
92,riverine_dawn_chorus.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Indirana beddomii,Beddome's Leaping Frog,Amphibia,179.0,185.0,6.0,250,850,0.92,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
93,forest_ambient_soundscape.wav,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,Pavo cristatus,Indian Peafowl,Aves,23.1,26.1,3.0,450,1550,0.92,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
94,forest_ambient_soundscape.wav,Manas Transboundary River Reserve,SITE-MNS-005,Alcedo atthis,Common Kingfisher,Aves,119.4,125.4,6.0,800,1900,0.86,VERIFIED_AI,BioNet-AudioClassifier-v2.4
95,tawny_owl_call.wav,Kaziranga Floodplain Sanctuary,SITE-KZR-002,Sus scrofa,Wild Boar,Mammalia,21.4,23.4,2.0,450,1550,0.94,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
96,riverine_dawn_chorus.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Alcedo atthis,Common Kingfisher,Aves,53.9,55.4,1.5,1200,2300,0.92,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
97,forest_ambient_soundscape.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Lutra lutra,Eurasian Otter,Mammalia,1.5,7.6,6.1,250,4050,0.81,VERIFIED_AI,BioNet-AudioClassifier-v2.4
98,forest_ambient_soundscape.wav,Kaziranga Floodplain Sanctuary,SITE-KZR-002,Neofelis nebulosa,Clouded Leopard,Mammalia,163.0,168.9,5.9,1200,3600,0.83,VERIFIED_AI,BioNet-AudioClassifier-v2.4
99,forest_ambient_soundscape.wav,Kaziranga Floodplain Sanctuary,SITE-KZR-002,Loris tardigradus,Slender Loris,Mammalia,157.5,164.9,7.4,800,3200,0.87,VERIFIED_AI,BioNet-AudioClassifier-v2.4
100,riverine_dawn_chorus.wav,Kaziranga Floodplain Sanctuary,SITE-KZR-002,Rhinoceros unicornis,Greater One-Horned Rhinoceros,Mammalia,2.7,4.9,2.2,450,2850,0.85,VERIFIED_AI,BioNet-AudioClassifier-v2.4
101,riverine_dawn_chorus.wav,Manas Transboundary River Reserve,SITE-MNS-005,Ailurus fulgens,Red Panda,Mammalia,67.7,71.4,3.7,250,4050,0.86,VERIFIED_AI,BioNet-AudioClassifier-v2.4
102,forest_ambient_soundscape.wav,Manas Transboundary River Reserve,SITE-MNS-005,Pavo cristatus,Indian Peafowl,Aves,124.5,129.2,4.7,1200,2300,0.8,VERIFIED_AI,BioNet-AudioClassifier-v2.4
103,riverine_dawn_chorus.wav,Western Ghats Rainforest Corridor,SITE-WGH-003,Neofelis nebulosa,Clouded Leopard,Mammalia,75.5,81.0,5.5,2200,6000,0.82,VERIFIED_AI,BioNet-AudioClassifier-v2.4
104,forest_ambient_soundscape.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Elephas maximus,Asian Elephant,Mammalia,155.4,163.0,7.6,450,4250,0.96,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
105,tawny_owl_call.wav,Periyar Cardamom Hills Watershed,SITE-PER-007,Bubo bubo,Eurasian Eagle-Owl,Aves,9.2,12.3,3.1,800,1400,0.92,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
106,tawny_owl_call.wav,Gir Asiatic Lion Sanctuary,SITE-GIR-006,Eurystomus orientalis,Dollarbird,Aves,94.6,100.9,6.3,250,4050,0.91,VERIFIED_AI,BioNet-AudioClassifier-v2.4
107,tawny_owl_call.wav,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,Ardea insignis,White-Bellied Heron,Aves,119.8,125.7,5.9,450,1050,0.78,VERIFIED_AI,BioNet-AudioClassifier-v2.4
108,rainforest_night_canopy.wav,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,Eudynamys scolopaceus,Asian Koel,Aves,156.6,158.3,1.7,1200,3600,0.83,VERIFIED_AI,BioNet-AudioClassifier-v2.4
109,riverine_dawn_chorus.wav,Sundarbans Mangrove Biosphere,SITE-SND-001,Corvus splendens,House Crow,Aves,40.9,46.8,5.9,1200,2300,0.8,VERIFIED_AI,BioNet-AudioClassifier-v2.4
110,forest_ambient_soundscape.wav,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,Ailurus fulgens,Red Panda,Mammalia,154.3,158.8,4.5,250,4050,0.93,VERIFIED_EXPERT,BioNet-AudioClassifier-v2.4
